x,y,r (pixel),is_circle,r (um),group
510,572,79,unmarked,233.05,223
282,532,89,unmarked,262.55,224
310,78,77,unmarked,227.15,225
818,190,68,unmarked,200.60000000000002,226
384,544,62,unmarked,182.9,227
354,292,96,unmarked,283.20000000000005,228
92,134,84,unmarked,247.8,229
466,300,83,unmarked,244.85000000000002,230
210,304,72,unmarked,212.4,231
130,122,70,unmarked,206.5,232
574,502,67,unmarked,197.65,233
612,576,63,unmarked,185.85000000000002,234
746,620,63,unmarked,185.85000000000002,235
548,340,56,unmarked,165.20000000000002,236
366,148,93,unmarked,274.35,237
744,124,71,unmarked,209.45000000000002,238
46,80,43,unmarked,126.85000000000001,239
168,472,41,unmarked,120.95,240
780,364,64,unmarked,188.8,241
678,536,58,unmarked,171.10000000000002,242
340,272,55,unmarked,162.25,243
102,510,40,unmarked,118.0,244
766,214,76,unmarked,224.20000000000002,245
472,242,73,unmarked,215.35000000000002,246
780,172,61,unmarked,179.95000000000002,247
398,98,37,unmarked,109.15,248
178,294,96,unmarked,283.20000000000005,249
88,154,89,unmarked,262.55,250
534,178,86,unmarked,253.70000000000002,251
298,622,84,unmarked,247.8,252
262,486,69,unmarked,203.55,253
830,462,58,unmarked,171.10000000000002,254
372,210,93,unmarked,274.35,255
776,572,56,unmarked,165.20000000000002,256
706,108,56,unmarked,165.20000000000002,257
590,284,40,unmarked,118.0,258
122,642,33,unmarked,97.35000000000001,259
332,104,69,unmarked,203.55,260
590,554,59,unmarked,174.05,261
52,624,47,unmarked,138.65,262
276,90,89,unmarked,262.55,263
362,612,86,unmarked,253.70000000000002,264
716,400,81,unmarked,238.95000000000002,265
296,94,71,unmarked,209.45000000000002,266
404,526,67,unmarked,197.65,267
670,630,50,unmarked,147.5,268
228,138,104,unmarked,306.8,269
340,80,79,unmarked,233.05,270
252,396,72,unmarked,212.4,271
628,178,68,unmarked,200.60000000000002,272
172,438,63,unmarked,185.85000000000002,273
402,296,91,unmarked,268.45,274
